team	year	wins	losses	ties	win_pcnt	rank
yom	2009	89	46	9	.659	1
nip	2009	82	60	2	.577	2
chu	2009	81	62	1	.566	3
rak	2009	77	66	1	.538	4
sft	2009	74	65	5	.532	5
sei	2009	70	70	4	.500	6
yak	2009	71	72	1	.497	7
han	2009	67	73	4	.479	8
hir	2009	65	75	4	.464	9
lot	2009	62	77	5	.446	10
orx	2009	56	86	2	.394	11
yok	2009	51	93	0	.354	12
chu	2010	79	62	3	.560	1
han	2010	78	63	3	.553	2
yom	2010	79	64	1	.552	3
sft	2010	76	63	5	.547	4
sei	2010	78	65	1	.545	5
lot	2010	75	67	2	.528	6
nip	2010	74	67	3	.525	7
yak	2010	72	68	4	.514	8
orx	2010	69	71	4	.493	9
rak	2010	62	79	3	.440	10
hir	2010	58	84	2	.408	11
yok	2010	48	95	1	.336	12
sft	2011	88	46	10	.657	1
chu	2011	75	59	10	.560	2
yak	2011	70	59	15	.543	3
yom	2011	71	62	11	.534	4
nip	2011	72	65	7	.526	5
orx	2011	69	68	7	.504	6
sei	2011	68	67	9	.504	7
han	2011	68	70	6	.493	8
rak	2011	66	71	7	.482	9
hir	2011	60	76	8	.441	10
lot	2011	54	79	11	.406	11
yok	2011	47	86	11	.353	12
yom	2012	86	43	15	.667	1
chu	2012	75	53	16	.586	2
nip	2012	74	59	11	.556	3
sei	2012	72	63	9	.533	4
yak	2012	68	65	11	.511	5
sft	2012	67	65	12	.508	6
rak	2012	67	67	10	.500	7
lot	2012	62	67	15	.481	8
hir	2012	61	71	12	.462	9
orx	2012	57	77	10	.425	10
han	2012	55	75	14	.423	11
yok	2012	46	85	13	.351	12
yom	2013	84	53	7	.613	1
rak	2013	82	59	3	.582	2
sei	2013	74	66	4	.529	3
han	2013	73	67	4	.521	4
lot	2013	74	68	2	.521	5
sft	2013	73	69	2	.514	6
hir	2013	69	72	3	.489	7
orx	2013	66	73	5	.475	8
chu	2013	64	77	3	.454	9
nip	2013	64	78	2	.451	10
yok	2013	64	79	1	.448	11
yak	2013	57	83	4	.407	12
yom	2014	82	61	1	.573	1
sft	2014	78	60	6	.565	2
orx	2014	80	62	2	.563	3
han	2014	75	68	1	.524	4
hir	2014	74	68	2	.521	5
nip	2014	73	68	3	.518	6
chu	2014	67	73	4	.479	7
yok	2014	67	75	2	.472	8
lot	2014	66	76	2	.465	9
sei	2014	63	77	4	.450	10
rak	2014	64	80	0	.444	11
yak	2014	60	81	3	.426	12
sft	2015	90	49	4	.647	1
nip	2015	79	62	2	.560	2
yak	2015	76	65	2	.539	3
yom	2015	75	67	1	.528	4
lot	2015	73	69	1	.514	5
sei	2015	69	69	5	.500	6
han	2015	70	71	2	.496	7
hir	2015	69	71	3	.493	8
chu	2015	62	77	4	.446	9
yok	2015	62	80	1	.437	10
orx	2015	61	80	2	.433	11
rak	2015	57	83	3	.407	12
hir	2016	89	52	2	.631	1
nip	2016	87	53	3	.621	2
sft	2016	83	54	6	.606	3
lot	2016	72	68	3	.514	4
yom	2016	71	69	3	.507	5
yok	2016	69	71	3	.493	6
han	2016	64	76	3	.457	7
sei	2016	64	76	3	.457	8
yak	2016	64	78	1	.451	9
rak	2016	62	78	3	.443	10
chu	2016	58	82	3	.414	11
orx	2016	57	83	3	.407	12
sft	2017	94	49	0	.657	1
hir	2017	88	51	4	.633	2
sei	2017	79	61	3	.564	3
han	2017	78	61	4	.561	4
rak	2017	77	63	3	.550	5
yok	2017	73	65	5	.529	6
yom	2017	72	68	3	.514	7
orx	2017	63	79	1	.444	8
chu	2017	59	79	5	.428	9
nip	2017	60	83	0	.420	10
lot	2017	54	87	2	.383	11
yak	2017	45	96	2	.319	12
sei	2018	88	53	2	.624	1
hir	2018	82	59	2	.582	2
sft	2018	82	60	1	.577	3
yak	2018	75	66	2	.532	4
nip	2018	74	66	3	.529	5
yom	2018	67	71	5	.486	6
yok	2018	67	74	2	.475	7
orx	2018	65	73	5	.471	8
chu	2018	63	78	2	.447	9
han	2018	62	79	2	.440	10
lot	2018	59	81	3	.421	11
rak	2018	58	82	3	.414	12
sei	2019	80	62	1	.563	1
sft	2019	76	62	5	.551	2
yom	2019	77	64	2	.546	3
rak	2019	71	68	4	.511	4
yok	2019	71	69	3	.507	5
han	2019	69	68	6	.504	6
hir	2019	70	70	3	.500	7
lot	2019	69	70	4	.496	8
chu	2019	68	73	2	.482	9
nip	2019	65	73	5	.471	10
orx	2019	61	75	7	.449	11
yak	2019	59	82	2	.418	12
sft	2020	73	42	5	.635	1
yom	2020	67	45	8	.598	2
han	2020	60	53	7	.531	3
chu	2020	60	55	5	.522	4
lot	2020	60	57	3	.513	5
sei	2020	58	58	4	.500	6
rak	2020	55	57	8	.491	7
yok	2020	56	58	6	.491	8
hir	2020	52	56	12	.481	9
nip	2020	53	62	5	.461	10
orx	2020	45	68	7	.398	11
yak	2020	41	69	10	.373	12
yak	2021	73	52	18	.584	1
han	2021	77	56	10	.579	2
orx	2021	70	55	18	.560	3
lot	2021	67	57	19	.540	4
rak	2021	66	62	15	.516	5
yom	2021	61	62	20	.496	6
sft	2021	60	62	21	.492	7
hir	2021	63	68	12	.481	8
nip	2021	55	68	20	.447	9
sei	2021	55	70	18	.440	10
chu	2021	55	71	17	.437	11
yok	2021	54	73	16	.425	12
yak	2022	80	59	4	.576	1
orx	2022	76	65	2	.539	2
sft	2022	76	65	2	.539	3
yok	2022	73	68	2	.518	4
sei	2022	72	68	3	.514	5
rak	2022	69	71	3	.493	6
han	2022	68	71	4	.489	7
lot	2022	69	73	1	.486	8
yom	2022	68	72	3	.486	9
hir	2022	66	74	3	.471	10
chu	2022	66	75	2	.468	11
nip	2022	59	81	3	.421	12